﻿Title:,"Table 1 - Graduate activities by provider and sex"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Sex,All 
,Interim study,Include significant interim study 
,Academic year,2022/23 
Search:,


"UKPRN","Provider Name","Full-time employment","Part-time employment","Unknown pattern of employment","Voluntary or unpaid work","Employmentand further study","Full-time further study","Part-time further study","Unknown pattern of further study","Other including travel, caring for someone or retired","Unemployed","Total with known outcomes","Non-respondents","Total"
"10021682","Kaplan Open Learning (Essex) Limited","105","10","0","0","35","5","5","0","10","5","175","200","375"
"10007767","Keele University","865","145","5","20","235","85","5","0","75","75","1,520","1,490","3,010"
"10003558","Kendal College","5","5","0","0","5","0","0","0","0","0","20","15","35"
"10007150","The University of Kent","1,345","290","20","35","265","175","10","0","115","190","2,440","3,065","5,505"
"10003676","Kingston Maurward College","10","0","0","0","0","0","0","0","0","0","15","10","25"
"10003645","King's College London","3,020","400","15","60","555","385","20","5","275","260","4,990","10,225","15,210"
"10003189","Kirklees College","15","5","0","0","5","0","5","0","5","0","30","30","60"
"10003678","Kingston University","1,265","320","20","25","205","90","10","0","165","225","2,330","4,385","6,715"
"10003753","Lakes College West Cumbria","0","0","0","0","0","0","0","0","0","0","0","95","95"
"10003758","LAMDA Limited","25","20","0","0","5","0","0","0","0","5","55","70","130"
"10007768","The University of Lancaster","1,385","185","10","20","285","255","5","0","115","145","2,405","3,105","5,510"
"10003854","Leeds Arts University","170","100","0","10","25","15","0","0","30","40","390","435","825"
"10003861","Leeds Beckett University","1,760","370","30","30","270","85","10","0","160","150","2,870","4,420","7,290"
"10003798","Le Cordon Bleu Limited","55","10","0","0","5","5","0","0","10","10","95","330","425"
"10034449","Leeds Conservatoire","100","100","0","5","20","5","0","0","10","20","265","270","530"
"10024962","Leeds City College","105","55","0","5","25","5","0","0","25","30","255","255","510"
"10003855","Leeds College of Building","80","0","0","0","35","0","0","0","5","0","125","125","250"
"10007795","The University of Leeds","2,680","380","25","30","440","280","20","0","215","260","4,335","9,140","13,475"
"10003863","Leeds Trinity University","620","100","5","10","80","25","5","0","80","60","990","1,090","2,075"
"10003867","Leicester College","35","10","0","0","10","0","0","0","5","5","70","80","155"
"10007796","The University of Leicester","1,135","165","10","25","260","155","10","0","115","145","2,025","3,670","5,695"
"10007500","Wigan and Leigh College","75","20","0","5","25","5","0","0","5","5","145","125","265"
"10089591","LIBF Limited","15","0","0","0","0","0","0","0","0","0","20","60","80"
"10003928","Lincoln College","50","20","0","0","10","5","0","0","15","5","100","100","200"
"10007151","The University of Lincoln","1,655","345","10","35","340","170","10","0","130","150","2,850","3,290","6,135"
"10003956","Liverpool Hope University","570","120","5","10","100","30","5","0","65","55","960","1,025","1,980"
"10003957","Liverpool John Moores University","2,600","390","35","40","435","120","15","0","230","175","4,040","5,175","9,215"
"10003945","The Liverpool Institute for Performing Arts","95","65","5","5","15","5","0","0","5","5","200","145","340"
"10006842","The University of Liverpool","2,090","280","20","30","375","315","15","0","180","195","3,500","5,570","9,070"
"10003958","Liverpool School of Tropical Medicine","50","10","0","0","10","0","0","0","5","0","75","100","175"
"10007820","Grŵp Llandrillo Menai","65","35","0","5","35","0","0","0","20","5","165","155","320"
"10007162","University of the Arts, London","960","495","10","40","150","60","0","0","110","185","2,015","6,365","8,380"
"10013109","London Bridge Business Academy","15","5","0","0","0","0","0","0","5","0","30","40","70"
"10007769","London Business School","255","5","5","0","0","0","0","0","5","15","285","1,115","1,400"
"10030391","London Churchill College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","150","15","0","5","30","5","0","0","35","5","255","210","465"
"10039082","City and Guilds of London Art School","25","20","0","0","10","15","0","0","10","5","90","95","185"
"10023434","London School of Commerce & IT Limited","5","5","0","0","0","0","0","0","5","0","15","25","35"
"10004036","London Film School Limited","10","5","0","0","0","0","0","0","0","0","20","65","85"
"10015506","The London College","155","20","0","0","15","5","5","0","30","10","235","285","525"
"10004048","London Metropolitan University","580","170","5","30","115","40","10","0","120","100","1,175","1,940","3,115"
"10032594","London School of Academics Ltd","15","5","0","0","10","0","0","0","5","0","40","25","65"
"10004078","London South Bank University","1,425","270","25","30","220","60","5","0","180","175","2,390","3,450","5,840"
"10004063","London School of Economics and Political Science","1,810","100","15","25","170","195","0","0","80","110","2,505","4,915","7,420"
"10007771","London School of Hygiene and Tropical Medicine","185","25","0","0","25","25","0","0","10","15","275","380","655"
"10022285","London School of Management Education","70","25","0","0","10","0","0","0","20","10","135","60","200"
"10004075","London School of Theology","10","5","0","0","5","0","0","0","5","0","25","30","55"
"10004079","London Studio Centre","25","20","0","0","10","0","0","0","5","0","65","65","130"
"10062810","The London School of Architecture","15","0","0","0","5","0","0","0","0","0","20","30","55"
"10004035","The Film Education Training Trust Limited","10","5","0","0","5","0","0","0","0","0","25","80","105"
"10004112","Loughborough College","110","50","5","5","35","15","0","0","40","15","270","285","560"
"10004113","Loughborough University","1,665","185","15","20","305","165","15","0","110","130","2,610","3,240","5,850"
"10023139","LTE Group","75","60","5","10","30","10","0","0","25","25","240","305","545"
"10009612","Luther King House Educational Trust","5","5","0","0","0","0","0","0","0","0","10","0","10"
"10004144","Macclesfield College","10","0","0","0","0","0","0","0","0","0","15","20","30"
"10004180","The Manchester Metropolitan University","3,450","630","35","65","500","220","25","0","305","305","5,545","6,025","11,570"
"10007798","The University of Manchester","3,415","395","40","60","515","455","25","0","300","345","5,550","11,975","17,530"
"10009527","Istituto Marangoni Limited","55","5","0","0","5","5","0","0","5","15","90","415","505"
"10023452","The Markfield Institute of Higher Education","5","0","0","0","5","0","0","0","0","0","10","15","25"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","5","10","0","0","0","0","0","0","0","0","15","5","20"
"10020416","Missio Dei","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10030776","St Mellitus College","30","5","0","5","5","0","5","0","10","0","55","50","105"
"10004320","The Metanoia Institute","5","10","0","0","10","0","0","0","0","0","30","20","50"
"10004344","Middlesbrough College","90","25","5","5","15","15","0","0","10","10","175","170","345"
"10004351","Middlesex University","1,055","235","15","30","190","60","15","0","150","165","1,925","3,890","5,815"
"10004375","Milton Keynes College","25","10","0","5","5","5","0","0","5","5","60","35","90"
"10032277","The Minster Centre","5","15","0","0","0","0","0","0","0","0","25","15","35"
"10004340","Mid-Kent College","15","5","0","0","10","0","0","0","5","0","35","25","60"
"10049370","MLA College","10","0","0","0","0","0","0","0","0","0","10","25","35"
"10004450","Mountview Academy of Theatre Arts","45","25","0","0","0","0","0","0","0","5","80","80","160"
"10023777","Mont Rose College of Management and Sciences","70","35","0","0","15","5","0","0","30","15","175","155","330"
"10023454","Moorlands College","30","20","0","0","0","0","0","0","5","0","55","25","80"
"10004432","Morley College Limited","5","5","0","0","0","0","0","0","5","0","20","20","35"
"10004442","Moulton College","0","0","0","0","0","0","0","0","0","0","0","75","75"
"10055902","Multiverse","205","15","0","0","30","0","0","0","10","5","265","490","755"
"10004478","Myerscough College","85","15","0","0","15","0","0","0","5","5","135","130","265"
"10001444","National Centre for Circus Arts","5","5","0","0","0","0","0","0","5","0","10","25","40"
"10000216","All Nations Christian College","5","0","0","0","0","0","0","0","5","0","10","5","15"
"10004538","Nazarene Theological College","10","10","0","0","0","5","0","0","5","0","30","10","40"
"10004552","Nelson and Colne College","45","20","5","0","15","5","0","0","15","5","115","100","215"
"10004576","New College Durham","165","45","5","5","30","10","0","0","30","20","310","325","640"
"10006963","New City College","20","10","0","0","5","0","0","0","5","5","45","30","75"
"10030129","Nelson College London Ltd","55","35","5","0","20","5","0","0","30","25","170","295","465"
"10004686","North East Surrey College of Technology (NESCOT)","55","25","0","5","5","5","0","0","10","5","115","170","280"
"10004596","Newbury College","25","5","0","0","5","0","0","0","0","0","35","35","70"
"10023456","Newbold College","10","0","0","0","5","0","0","0","0","0","15","15","30"
"10007799","Newcastle University","2,195","300","20","35","405","270","15","0","205","200","3,645","6,030","9,675"
"10004599","NCG","220","130","0","10","55","15","5","0","60","45","545","730","1,275"
"10004607","Newham College of Further Education","0","0","0","0","0","0","0","0","0","0","0","10","10"
"10048199","New College of the Humanities","30","5","0","0","5","5","0","0","0","0","50","55","105"
"10007832","Newman University","235","55","0","5","45","15","5","0","30","35","425","325","755"
"10004690","North Hertfordshire College","15","5","0","0","0","0","0","0","0","0","20","80","100"
"10004721","North Kent College","5","5","0","0","0","0","0","0","0","0","10","20","30"
"10067406","New Model Institute for Technology and Engineering (NMITE)","0","0","0","0","0","0","0","0","0","0","0","0","0"
